"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"Salem","Virginia Beach","VA","Virginia Beach","Virginia Beach City",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1395,1397.5,1400,1412.5,1425,1495,1450,1425,1425,1400,1397.5
"Carmel Valley","San Diego","CA","San Diego","San Diego",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2795,2800,2772.5,2900,2995,2907.5,2975,2977.5,2995,3015,2967.5,2995,3000,2952.5,2845,2835,2925,2950,3000,3040,3170,3085,2905,3000,3000,3150,3257.5,3217.5,3197.5,3195,3200,3105,3005,3267.5,3127.5,3200,3230,3056,3172.5,3195,3225,3400,3445,3385,3300,3298,3360,3367,3382.5
"Oak Forest - Garden Oaks","Houston","TX","Houston","Harris",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1900,1850,1800,1799,1771.5,1755,1725,1760,1755,1796.5,1795,1798,1799,1879,1837.5,1777.5,1675,1798.5,1800,1800,1796.5,1760,1750,1850,1850,1850,1800,1755,1841.5,1760,1798,1783,1697.5,1683,1730,1760,1795,1800,1795,1750,1700,1798
"Parkway Village-Oakhaven","Memphis","TN","Memphis","Shelby",92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,800,812.5,825,795,795,825,825,825,825,795,825,825,850,850,850,850,825,827,850,825,850,850,825,850,847,800,800,795,825,825,825,832,800,795,795,795,800,820,850,875,850,850,837.5,825,825,795,850,825,850,850,825,825,825,825,825,825,825,825,825
"East Boston","Boston","MA","Boston","Suffolk",93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1650,1700,1900,2060,2060,2250,2350,2375,2200,2100,2000,2000,2000,2000,2080,2200,2175,2200,2100,2100,2100,2100,2100,2200,2200,2350,2300,2300,2300,2250,2225,2200,2200,2200,2225,2350,2400,2350,2300,2300,2375,2300,2350,2300,2250,2350,2482.5,2475,2450,2450,2450,2500,2500,2500,2500,2450,2425,2400
"Ocean Hill","New York","NY","New York","Kings",94,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1700,1700,1700,1832,2000,1825,1750,1750,1750,1700,1725,1850,1995.5,1900,2000,2097.5,2000,2000,1937.5,1991,1991,1991,2000,2100,2095,2199,2200,2150,2100,2200,2095,2099,2100,2099,2225,2200,2300,2300,2300,2300,2250,2250,2249,2300,2400,2400,2300,2399,2325,2200,2395,2400,2350,2399,2300,2272.5,2295,2400,2424,2400,2397.5,2445,2400,2395,2300
"Greater Heights","Houston","TX","Houston","Harris",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2395,2395,2397.5,2425,2750,2747.5,2400,2395,2675,2395,2500,2500,2600,2800,2800,2775,2700,2600,2797.5,2675,2787.5,2895,2850,2900,2900,2795,2800,2795,2775,2800,2700,2600,2750,2700,2700,2700,2750,2770,2650,2650,2600,2695,2800,2572.5,2574.5,2550,2600,2485,2500,2500,2600,2597.5,2550,2600,2500,2500
"South Shore","Chicago","IL","Chicago","Cook",96,,,,,,,,,,,,,,,,1097.5,1095,1125,1072.5,1075,1100,1200,1150,1150,1150,1050,1100,1100,1100,1100,1000,1030,1040,1050,1100,1100,1100,1075,1050,1050,1095,1095,1080,1077.5,1050,1058,1100,1079,1100,1100,1100,1100,1100,1085,1100,1100,1100,1150,1130,1100,1100,1100,1100,1100,1119.5,1150,1150,1150,1150,1150,1150,1200,1200,1139,1100,1200,1200,1150,1150,1150,1150,1200,1162.5,1200,1200,1151,1200,1200,1200,1200,1200,1200
"Jamaica Plain","Boston","MA","Boston","Suffolk",97,,,,,,,,,,,,,,,,,,,,,,,2100,2200,2200,2200,2275,2300,2375,2350,2348.5,2300,2500,2500,2400,2400,2400,2400,2500,2500,2500,2400,2400,2300,2400,2500,2500,2500,2500,2600,2600,2600,2500,2495,2497.5,2495,2500,2800,2700,2700,2700,2750,2750,2700,2612.5,2600,2497.5,2495,2600,2672.5,2795,2800,2800,2800,2795,2750,2750,2700,2600,2400,2600,2850,2900,2900,2895,2900,2900,2900,2850,2799.5,2850,3000
"Brighton","Boston","MA","Boston","Suffolk",98,,,,,,,,,,,1995,2150,2150,2150,2100,2112.5,2150,2250,2250,2200,2250,2250,2200,2300,2300,2300,2300,2300,2300,2350,2350,2392,2399,2400,2400,2400,2400,2400,2400,2400,2400,2400,2495,2500,2495,2450,2500,2500,2550,2550,2550,2550,2500,2500,2450,2500,2495,2500,2500,2540,2550,2550,2595,2595,2500,2500,2500,2500,2500,2600,2638.5,2699,2650,2699,2695,2675,2650,2625,2600,2500,2500,2650,2700,2750,2800,2800,2800,2795,2750,2700,2700,2700
