"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"South Chicago","Chicago","IL","Chicago","Cook",130,,,,,,,,,,,,,,,,,,,,,,,,,1000,1050,1000,1100,1150,1150,995,990,1000,990,995,1050,1050,1050,1100,1100,1100,1100,1100,1100,999.5,1100,1100,1000,1000,1000,995,1000,1000,1050,1100,1100,1012.5,1012.5,1100,1037.5,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1100,1100,1100,1150,1150,1150,1150,1150,1100,1090,1150,1150,1150,1100,1100,1100,1150,1125,1100,1100,1150
"Ravenswood","Chicago","IL","Chicago","Cook",131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1895,1925,1950,2100,2295,2225,2122.5,2100,2000,1950,1897.5,1922.5
"Paradise Hills","Albuquerque","NM","Albuquerque","Bernalillo",132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268,1225,1200,1250,1237.5,1225,1250,1295,1295,1300,1268,1268,1268
"Washington Avenue Coalition - Memorial Park","Houston","TX","Houston","Harris",133,,,,,,,,,,,,,,,,,,2250,2300,2275,2300,2350,2400,2400,2500,2502.5,2600,2700,2697.5,2554,2520,2500,2500,2600,2685,2768.5,2750,2800,2850,2825,2850,2900,2850,2850,2850,2725,2800,2900,2995,3000,3100,3000,3100,3100,2995,2972.5,2950,3000,3000,2950,2950,3000,3000,3097.5,3000,2995,2900,2900,2970,2900,2929,2900,2950,2897,2900,2850,2900,2899,2750,2700,2700,2750,2800,2724.5,2700,2750,2750,2700,2700,2750,2700,2700
"Pelham Bay","New York","NY","New York","Bronx",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2197.5,2200,2200,2200,2100,2100,2100,2200,2200,2200,2100
"Las Tierras","El Paso","TX","El Paso","El Paso",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197.5,1175,1100,1075,1037.5,1000,997.5,995,995,995,1000,1100,1100,1120,1162.5,1100,1082.5,1100,1025,1000,1000,1050,1100,1100,1150,1150,1150,1095,1050,1070,1072.5,1100,1097,1100,1095,1050,1100,1085,1077.5,1050,1050,1097.5,1095,1097.5,1050,1070,1025,1100,1050,1100,1000,995,1025,1000,1000,1095,1097.5,1100,1095,1050,1050,1050,1095,1095,1000
"Capitol","Madison","WI","Madison","Dane",136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1792.5,1807.5,1732.5,1665,1740,1767.5,1780,1730,1770,1895,1995,2055,1797.5,1915
"Allston","Boston","MA","Boston","Suffolk",137,,,,,,,,,,,2100,2200,2200,2200,2200,2150,2150,2100,2175,2100,2250,2400,2300,2300,2300,2350,2325,2325,2350,2325,2300,2300,2350,2400,2450,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2500,2600,2599,2600,2600,2512.5,2500,2500,2500,2500,2499,2500,2600,2600,2600,2600,2600,2600,2600,2550,2500,2500,2595,2600,2700,2700,2700,2700,2695,2700,2685,2600,2600,2600,2550,2500,2800,2800,2800,2795,2800,2800,2750,2700,2700,2700,2700
"Clinton Hill","New York","NY","New York","Kings",138,,,,,,,,,,,,,,,,,,,,,,3000,2950,2975,3100,3049.5,3100,3200,3200,3150,3125,3300,3495,3100,3295,3500,3450,3450,3495,3495,3497.5,3500,3400,3500,3597.5,3497.5,3400,3400,3500,3495,3600,3800,3895,3850,3700,3700,3700,3725,3585,3500,3500,3600,3599,3500,3600,3600,3699,3500,3595,3700,3699.5,3700,3700,4200,4000,3600,3600,3750,3600,3600,3900,3800,3775,3899,3699.5,3895,3900,4095,4000,3950,3700,3680
"Fenway","Boston","MA","Boston","Suffolk",139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3525,3650,3772.5,3600,3500,3450,3600,3585,3575,3400,3300,3600,3950,3900,3900,4000,3900,3900,3900,3800,3600,3600,3500,3700,3800,3950,4000,3900,3800,3700,3700,3700,3600,3725,3750,3800,4000,4000,4000,4000,3900,3950,3800,3900,3675,3800,3700,4200,3900,3900,3900,4000,3950,3900,3900,3900,3800,3800,3900
"Brickell","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,4500,4450,4500,4320,4520,4800,5000,4600,4500,4900,4500,4900,5200,5300,5250
"North Central","Philadelphia","PA","Philadelphia","Philadelphia",141,,,,,,,,,,,,,,,,,,,,,,1725,1650,1650,1695,1680,1600,1500,1500,1625,1650,1650,1712.5,1650,1695,1650,1650,1650,1550,1500,1500,1500,1497.5,1500,1650,1650,1650,1650,1650,1650,1500,1500,1575,1500,1575,1650,1650,1650,1650,1650,1650,1650,1650,1575,1575,1575,1650,1725,1725,1695,1725,1725,1650,1800,1650,1650,1500,1600,1575,1740,1725,1725,1725,1725,1800,1750,1735,1725,1650,1600,1800,1800
"Anthem","Henderson","NV","Las Vegas","Clark",142,,,,,,,,,,,,,,,1400,1375,1350,1350,1385,1395,1495,1437.5,1395,1350,1350,1350,1395,1472.5,1397.5,1375,1375,1400,1400,1472.5,1500,1500,1495,1425,1395,1400,1385,1400,1425,1425,1395,1350,1375,1350,1395,1495,1650,1725,1650,1547.5,1550,1550,1400,1495,1545,1637.5,1850,1950,1950,1695,1775,1675,1537.5,1650,1650,1600,1695,1550,1650,1695,1500,1625,1650,1495,1550,1595,1672.5,1455,1595,1700,1700,1850,1895,1800,1872.5,1795,1825,1550
"Northwood","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2800,2800,3000,2925,2900,3000,2900,3000,2922.5,2955,2910
"Back Bay","Boston","MA","Boston","Suffolk",144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,5500,5500,4650,4700,4800,4800,4800,4800,4800,4750,4750,4800,4800,5187.5,5400,5497.5,5500,5400,5671,6000,5819,5187.5,4900,4725,4800,5000,5000,4725,4750,5000,5680.5,5900,5671,5900,5260
"Meadow Woods","Orlando","FL","Orlando","Orange",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1409.5,1412.5,1437.5,1425,1400,1450,1500,1550,1499.5,1485,1500
"Columbus Circle","New York","NY","New York","New York",146,,,,,,,,,,,,,,,,,,,,,,,,4447.5,4295,4500,4497.5,4495,4300,4400,4500,4495,4400,4400,4500,4500,4500,4500,4595,4600,4600,4595,4695,4500,4500,4495,4495,4495,4495,4495,4800,4600,4597.5,4597.5,4600,4695,4647.5,4550,4495,4547.5,4800,4825,4822.5,4990,4650,4800,4900,4950,4900,4847.5,4600,4625,4597.5,4597.5,4600,4925,4750,4600,4547.5,4600,4900,4900,4697.5,4747.5,4900,4900,5050,4947.5,5000,4900,4947.5,4850
"Westgate","Henderson","NV","Las Vegas","Clark",147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397.5,1397.5,1350,1395,1495,1500,1500,1495,1525,1550,1495,1495,1512.5
"Summerfields","Fort Worth","TX","Dallas-Fort Worth","Tarrant",148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337.5,1300,1332,1360,1362.5,1388,1395,1395,1395,1400,1437.5,1425
"Bucktown","Chicago","IL","Chicago","Cook",149,,,,,,,,,,,,,,,,,,,,,,,2400,2500,2450,2495,2450,2500,2550,2500,2500,2400,2500,2500,2700,2400,2472.5,2450,2500,2600,2595,2495,2572.5,2200,2495,2650,2650,2600,2500,2647.5,2747.5,2600,2600,2600,2400,2400,2400,2700,2637.5,2400,2525,2595,2500,2875,2800,2600,2700,2700,2850,2900,2800,2700,2795,2800,2800,2800,2572.5,2615,2595,2450,2600,2615,2875,3200,2875,2875,2980,2790,2700,2795,2500,2500
"Metro West","Orlando","FL","Orlando","Orange",150,,,,,,,,,,,,,,,,1200,1229,1195,1180,1195,1195,1195,1250,1257.5,1252,1312.5,1262.5,1300,1297.5,1340,1295,1300,1249,1255,1215.5,1218,1250,1272,1295,1275,1210,1200,1200,1250,1250,1295,1250,1249.5,1275,1272.5,1200,1222,1222,1200,1247,1295,1300,1300,1350,1395,1337.5,1325,1397.5,1405,1455,1400,1400,1415,1400,1397.5,1400,1400,1410.5,1412.5,1400,1440,1495,1450,1400,1495,1385,1450,1500,1550,1500,1495,1522,1575,1563.5,1559,1606,1626
"Seatack","Virginia Beach","VA","Virginia Beach","Virginia Beach City",151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1840.5,1600,1625,1700,1697.5,1700,1650,1750,1700,1595,1650
"Kenmore","Boston","MA","Boston","Suffolk",152,,,,,,,,,,,,,,,,,,,,,,2900,3175,3200,3200,3300,3200,3300,3400,3400,3300,3419.5,3300,3300,3300,3300,3300,3500,3547.5,3500,3497.5,3400,3472.5,3525,3350,3400,3340,3395,3395,3350,3400,3500,3500,3400,3275,3610,3610,3500,3549.5,3600,3500,3500,3400,3450,3400,3395,3400,3600,3500,3600,3650,3600,3600,3595,3500,3500,3500,3400,3395,3600,3600,3550,3550,3600,3615,3700,3700,3747.5,3800,3900,3900,3900
"Park Manor","Chicago","IL","Chicago","Cook",153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1150,1200,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150
"Wynwood - Edgewater","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4495,4275,4200,4200,3950,3900,3950,3950,3900,3750,4250,3800,3900,3787.5,3700,3850,3760,3699,3850,3710,3700,3800,4400,3995,4000,3900,4000,4400
"Mission Hill","Boston","MA","Boston","Suffolk",155,,,,,,,,,,,,,,,,,,,,,2700,2700,2600,2722.5,2700,2700,2600,2625,2800,2850,3000,2975,3000,2962.5,2850,2950,2925,2925,2900,2850,2800,2900,2895,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2900,2900,3000,3100,3200,3100,3050,3100,3050,3000,2995,2950,2900,2900,2872.5,3000,3200,3200,3200,3200,3200,3197.5,3000,3200,2895,2900,2900,3200,3250,3200,3200,3150,3200,3200,3200,3200,3272.5,3300,3300
"Kyle Canyon","Las Vegas","NV","Las Vegas","Clark",156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1300,1400,1337.5,1350,1397.5,1350,1347.5,1400,1365,1350,1350,1325
"Woodlawn","Chicago","IL","Chicago","Cook",157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1250,1390,1300,1262.5,1350,1270,1250,1350,1350,1300,1295
"Gibson Springs","Henderson","NV","Las Vegas","Clark",158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1397.5,1412.5,1550,1500,1482.5,1475,1400,1410,1450,1475,1460,1465
"North Cambridge","Cambridge","MA","Boston","Middlesex",159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700,3400,3600,3600,3437.5,3350,3175,3150,3000,3175,3300,3665,3700,3600,3600,3530,3400,3450,3200,3300,3097.5,3300,3200,3000,3300,3300,3450,3450,3595,3585,3500,3500,3600,3300
"Downtown","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",160,,,,,,,,,,3250,3500,3400,3300,3200,3300,3300,3400,3500,3500,3800,3600,3500,3500,3500,3600,3600,3750,3922.5,3600,3600,3500,3598,3600,3600,3600,3600,3600,3600,3600,3700,3925,3775,3600,3750,3950,4100,3999,4000,4050,4500,5100,4700,5000,4549.5,4000,4000,4000,4000,4500,4375,4400,4200,4150,4125,4100,4400,4500,3950,4025,4500,4300,4000,4250,3800,4150,4250,4050,4300,4500,4050,4400,3900,4100,4500,4200,4200,4200,4195,4197.5,4200,4185,4025
"Cambridgeport","Cambridge","MA","Boston","Middlesex",161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3600,3300,3250,3000,3300,3500,3400,3550,3400,3707,3400,3400,3300,3200,3225,3300,3300,3400,3400,3400,3250,3300,3300,3300,3300,3250,3300,3300,3300,3300,3125,3000,3000,3000,3300,3300,3300,3425,3400,3500,3300,3300,3250,3050,3300,3400,3400,3400,3500,3450,3449.5,3400,3372.5,3300,3300,3400
"Hunters Point","New York","NY","New York","Queens",162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390,5370,5269,4995,4995,4700,4428,4594,4500,4438.5,4458,4490,4845,5005,5350,5350,5155,5240,5217.5,5235,5150,4997.5,5150,4500,4409,4400,4428,4845,4995,4995,4895,4595,4443,4795,4695,4810,4845,4695,4395,4840,4595,4595,4550,4499,4995,5195,5130,5130,5150,5240,5240,5240,5162.5,4995,5000
"Washington Park","Chicago","IL","Chicago","Cook",163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175,1350,1362.5,1250,1200,1207,1228.5,1250,1207,1200,1200,1200,1300
"North End","Boston","MA","Boston","Suffolk",164,,,,,,,,,,,,,,,,,,,,,,,,3400,3400,3400,3450,3300,3300,3400,3400,3400,3497.5,3400,3400,3495,3500,3500,3500,3600,3500,3500,3400,3500,3400,3500,3600,3600,3745,3600,3600,3600,3600,3500,3500,3400,3500,3525,3595,3720,3720,3720,3690,3600,3600,3600,3600,3600,3500,3600,3600,3750,3775,3775,3800,3750,3800,3795,3600,3600,3400,3500,3500,3600,3650,3700,3800,3700,3750,3600,3600,3600
"West Woodlawn","Chicago","IL","Chicago","Cook",165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1100,1150,1200,1180,1200,1200,1150,1150,1150,1150,1150
"Wellington-Harrington","Cambridge","MA","Boston","Middlesex",166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2800,2950,3000,2737.5,2800,2800,2850,2825,2800,2800,2800,3025,3100,3050,2950,3000,2900,2800,2900,3000,2900,2800,2975,3000,3100,3150,3100,3000,2900,2850,2725,2950,3050,3250,3275,3250,3300,3300,3380,3150,3300,3000,3000,3000,3000,2900,3000,3150,3400,3400,3300,3200,3200,2995,2800
"Roscoe Village","Chicago","IL","Chicago","Cook",167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,2275,2425,2800,2575,2500,2475,2475,2500,2550,2295,2215,2215
"Alafaya","Orlando","FL","Orlando","Orange",168,,,,,,,,,,,1200,1200,1225,1250,1295,1295,1295,1293.5,1250,1225,1250,1250,1230,1250,1250,1250,1295,1298,1295,1295,1295,1252.5,1275,1250,1250,1295,1300,1300,1300,1300,1300,1300,1295,1295,1300,1300,1295,1299,1300,1350,1350,1375,1325,1325,1350,1320,1320,1300,1350,1343,1350,1395,1395,1425,1395,1400,1395,1400,1400,1400,1425,1400,1395,1400,1423,1457.5,1475,1400,1500,1450,1460,1495,1500,1482,1520,1545,1540,1563,1570,1595,1572.5,1568
"Winter Hill","Somerville","MA","Boston","Middlesex",168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2337.5,2100,2150,2237.5,2287.5,2300,2300,2400,2400,2400,2287.5,2400,2250,2225,2200,2200,2200,2350,2400,2400,2387.5,2400,2400,2275,2400,2400,2400,2400,2400,2400,2500,2500,2500,2675,2687.5,2775,2762.5,2700,2650,2420,2400,2700,2700,2800,2850,2850,2800,2600,2550,2575
"Union Square","Somerville","MA","Boston","Middlesex",168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2600,2400,2700,2800,2800,2700,2700,2700,3000,2837.5,2975,2995,2700,2800,2800,2800,2900,2900,2900,2750,2750,2800,2750,2700,2700,2700,2900,2900,2950,3000,2900,2800,2800,2700,2700,2850,2700,2700,2900,2900,3000,3000,2950,2975,2900,2800,2700,2650,2700,2700,3000,3100,3100,3100,3100,3000,3000,3000,3000
"Far Eastside","Indianapolis","IN","Indianapolis","Marion",168,,,,,,,,,,,,,,,,,,,,,,,,,,,775,775,775,775,775,795,775,785,795,800,800,825,822.5,800,825,812.5,799,800,800,812.5,800,825,825,850,850,850,875,897,875,850,850,895,881,900,855,885,875,850,850,850,800,800,825,800,850,850,907.5,850,875,827.5,920,895,850,850,912.5,875,912.5,925,970,975,947.5,915,895,892,900,900
"Davis Square","Somerville","MA","Boston","Middlesex",168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,3300,3300,3000,3300,3200,3300,3300,3300,3450,3200,3200
